name;price;category;description
3-к кв. Великий Новгород, Парковая улица, дом 12А,  эт. 5/5 S:90.70 кв.м/49.90 кв.м;3750000;продажа;Предлагается к продаже трехкомнатная квартира на Торговой стороне. Дом кирпичный, 2003 года постройки. В доме всего 16 квартир. Видеонаблюдение по периметру дома. Система отопления и горячего водоснабжения находится на одной ветке с детским садом, поэтому всегда тепло и нет перебоев с горячей водой. Квартира 90,7/49,9/12,8. Хорошее состояние, стеклопакеты, комнаты изолированы на разные стороны, раздельный санузел отделка- кафельная плитка прихожая-холл 14 метров, есть большая застекленная лоджия, частично остается мебель, встроенная кухня. Район с развитой инфраструктурой. Рядом зеленый, спокойный парк для прогулок и река Волхов. Квартира готова к продаже и готова к заселению, все предложенные объекты в собственности, пакет документов готов, один совершеннолетний собственник, продажа в связи с переездом в другой город. А также есть возможность приобретения гаража, расположенного в гаражном комплексе, не далеко от дома. Гараж не входит в стоимость квартиры.
2-к кв. Мясной Бор деревня, Центральная улица, дом 12А,  эт. 2/2 S:43.00 кв.м/28.00 кв.м;550000;продажа;Продается двухкомнатная квартира в д. Мясной бор. Состояние квартиры хорошее, можно заезжать и жить, есть балкон и кладовка, комнаты смежные, центральное отопление, установлен бойлер на 100 литров, газ-баллон, остается вся мебель. Чистый подъезд и хорошие соседи. Один взрослый собственник. Готова к продаже.
1-к кв. Мясной Бор деревня, Центральная улица, дом 6,  эт. 2/2 S:29.20 кв.м/18.30 кв.м;390000;продажа;продается однокомнатная квартира в хорошем состоянии
Комната. Великий Новгород, Александра Корсунова проспект, дом 36 к 2,  эт. 4/4 S:16.20 кв.м ;380000;продажа;Предлагается к продаже уютная комната в Западном районе, проспект Александра Корсунова 36 к 2 Площадь комнаты: 16,2 кв.м., располагается в 5 комнатной коммунальной квартире. Состояние комнаты обычное, чистая и светлая. Поклеены обои, на полу постелен паркет. По желанию хозяйка может оставить мебель. Установлен домофон. Места общего пользования в приличном состоянии, чисто и без запаха. с/у раздельный, имеется дополнительное место для хранения личных вещей. Хорошие и тихие соседи, на данный момент в комнатах постоянно проживают 2 женщины. Комната ждёт своего нового хозяина! Документы готовы к сделке. Звоните, покажу с удовольствием!
2-к кв. Великий Новгород, Людогоща улица, дом 8А,  эт. 1/1 S:55.00 кв.м/40.00 кв.м;14000;аренда;Сдаётся замечательная 2 комн. квартира в самом центре города на Людогоща, 8А. Квартира с ремонтом и современной мебелью и техникой. Въезжай и живи. Рядом автобусные остановки в любой конец города.Вся инфраструктура в шаговой доступности, разные кафе и магазины. До Кремлёвского парка 5 минут ходьбы. Квартира прекрасно подойдёт для семьи. Оплата: 14 000+счётчики. Звоните! Покажу с удовольствием!
Комната. Великий Новгород, Космонавтов улица, дом 24,  эт. 1/1 S:12.00 кв.м ;300000;продажа;Предлагается к продаже уютная комната с отличным ремонтом в Западном районе, Космонавтов 24 Площадь комнаты: 11 кв.м. Сделан свежий ремонт!Стены выровнены и поклеены качественные обои.Потолок отштукатурен.Установлены стеклопакеты и решетка на окне.На полу линолеум.Новая входная дверь. Протянуты кабели для интернета и телевидения. В Подарок хозяйка оставляет новую и современную стенку-шкаф. КСТ на 4 комнаты. Места общего пользования в обычном состоянии. Во дворе современная и большая детская площадка. В этом же доме недавно открыли магазин Осень, что особенно упрощает поход в магазин. Комната ждёт своего нового хозяина! Документы готовы к сделке. Звоните, покажу с удовольствием!
1-к кв. Подберезье деревня, Центральная улица, дом 85,  эт. 3/3 S:24.10 кв.м/10.40 кв.м;780000;продажа;Предлагается к продаже 1к.кв. с хорошим ремонтом! д. Подберезье, ул. Центральная д.85 Квартира в новом доме, 2014 года постройки! ЦГВ. Общая площадь: 24,1 кв.м. Во всей квартире установлены стеклопакеты. Площадь комнаты: 10,4 кв.м. В комнате сделан качественный ремонт, поклеены обои, потолок отштукатурен, на полу ламинат. Площадь кухни: 5 кв.м. Поклеены обои, на полу ламинат. С/у совмещённый, пол и стены в кафеле. Сантехника в хорошем состоянии. Большая прихожая 7,2 кв.м. Имеется оборудованная гардеробная с зеркальными дверьми и полками для одежды.Это удобное решение позволит Вам сэкономить место в комнате и хранить вещи в гардеробной. В подарок хозяева оставляют кухонный гарнитур! Отличное расположение дома, развитая инфраструктура! Приятный и современный двор с качелями, горками, скамейками и соснами. Рядом есть ещё одна большая площадка. Всё необходимое для комфортной жизни в шаговой доступности.Детский сад Солнышко, школа, магазины Магнит, пятёрочка, амбулатория, дом культуры. Квартира без долгов и обременений все документы готовы, один собственник, квартира свободна. Звоните, покажу с удовольствием!
2-к кв. Великий Новгород, Нехинская улица, дом 32,  эт. 6/6 S:60.60 кв.м/33.30 кв.м;3040000;продажа;Продается просторная 2 комнатная квартира с отделкой в кирпичном доме. Основные преимущества: - Дом 2012 г постройки - Чистый, ухоженный подъезд без посторонних запахов - Огромный застекленный балкон площадью 9,9м общая площадь указана без учета балкона с выходом из 2 комнат. - Кладовая - Раздельный санузел - Окна на 2 стороны не со стороны дороги - Продуманная планировка грязная зона прихожей отделена от коридора - Хорошая транспортная доступность - рядом несколько автобусных остановок. - Большая парковка, благоустроенный двор. - Вокруг дома есть множество магазинов верный, магнит, осень, пятерочка, парикмахерские, аптека, кафе Шарлотка ателье и прочее - В шаговой доступности школа, детская поликлиника, детский сад, физкультурно-оздоровительный комплекс Акрон с бассейном и прогулочным парком. - Отлично подойдет как для семьи так и для аренды в том числе посуточной тк часто приезжают спортсмены в ФОК Акрон. - Без долгов и обременений. - Возможны любые формы расчета. - Возможен ОБМЕН на 1комнатную кв. в районе Белого города. - Звоните, покажем в удобное для Вас время. Поможем с реализацией вашей недвижимости, с оформлением ипотеки. АН Эльфидэль Луконин Владимир
1-к кв. Великий Новгород, Московская улица, дом 8,  эт. 5/5 S:23.50 кв.м/16.60 кв.м;800000;продажа;Предлагается к продаже отличная квартира комната гостиничного типа, КГТ в пятиэтажном кирпичном доме на пятом этаже. Квартира очень теплая, светлая, чистая, с очень удобной планировкой. В квартире две комнаты 9,6 и 7 кв.м., есть спальня и гостиная, выходят на разные стороны. Кухня 5 кв.м. Санузел совмещенный. Площадь квартиры небольшая, но все размещено, все что нужно для комфортной жизни - имеется. В квартире установлен водонагреватель ТЕРМЕКС STAINLESS.G.5 из нержавеющей стали, оснащенный функциями ускоренного нагрева и безопасного выключения, благодаря чему повышается уровень безопасности устройства. В кухне четырехконфорочная электрическая плита с духовкой, что позволяет готовить всевозможные блюда, делать заготовки и печь пироги. Состояние квартиры обычное, установлены натяжные потолки, на полу ламинат, новая электропроводка. Сантехника в хорошем состоянии, есть стационарный фильтр для воды. Металлическая входная дверь. Остается новым хозяевам красивый зеркальный встроенный шкаф. Действительно хорошие соседи. Дом расположен в зеленом районе Торговой стороны. Рядом буквально в 5 минутах ходьбы расположен парк с большой детской площадкой, игровыми зонами и аттракционами. Для занятий спортом - в 10 минутах современный стадион Электрон, площадка с уличными тренажерами. . Для прогулок - набережная реки Волхов. Район с очень развитой инфраструктурой, прекрасной транспортной доступностью, рядом автобусные остановки. Все, что необходимо для комфортного проживания находится в пешей доступности: школы, Лицей-Интернат, детские сады, детские развивающие центры, гуманитарный и медицинский институты Новгородского университета, колледж искусств, медицинские центры, магазины, аптеки, Восточный рынок. Один собственник, прямая продажа, без поиска встречного варианта! Торг уместен. Звоните, приходите на просмотр, с удовольствием покажем!
2-к кв. Великий Новгород, Хутынская улица, дом 5,  эт. 1/1 S:47.60 кв.м/29.10 кв.м;1700000;продажа;Предлагается к продаже 2к.кв. на торговой стороне. ул. Хутынская 5 Кирпичный дом 1989г, высота потолка 2,9м! Вся квартира в обычном состоянии, приличная и чистая.Общая площадь: 47,6 кв.м.Комнаты изолированные. С/у раздельный. Окна выходят на тихий двор. Площадь гостиной: 16,3 кв.м. Комната большая и светлая. Площадь второй комнаты: 12,8 кв.м. Кухня: 7 кв.м, колонка автомат Отличное расположение дома в сочетании с развитой инфраструктурой! Всё необходимое для комфортной жизни в шаговой доступности. Магазины, школы, кафе, остановки, через дорогу расположен большой парк с детскими развлечениями и площадками, набережная для вечерних прогулок! Квартира без долгов и обременений все документы готовы, квартира свободна. Звоните, покажу с удовольствием!
